document_id,title,uploaded_at
f8f82fe0-8e1c-448a-a4c7-988ca9256b5a,Season 1 - How Optimistic Or Pessimistic Are The Cognitive Functions__enhanced.pdf,2025-10-25 02:33 PM
7c27e2e7-ad22-4c29-a25b-c511cbde51dd,Season 1 - What Are Jungian Personality Types_ _ CS Joseph_enhanced.pdf,2025-10-25 02:33 PM
48634aad-f696-41c1-95e8-c6729f8c1524,Season 1 - What are Jungian Cognitive Functions and How Do They Work__enhanced.pdf,2025-10-25 02:33 PM
823fbd4a-274a-4db3-b665-c0b0b12243f2,Season 1 - What Is Extraverted Feeling (Fe)_ _ Cognitive Functions_enhanced.pdf,2025-10-25 02:33 PM
28a1d0b9-3b98-4227-887a-3b75718dda3e,Season 1 - What Are The Four Sides of the Mind_ _enhanced.pdf,2025-10-25 02:33 PM
dacf3c93-b36a-4a22-974d-3e30b44616eb,Season 1 - What Is A Cognitive Axis_ _ Cognitive Functions _enhanced.pdf,2025-10-25 02:33 PM
4bf8fcf6-6672-4244-a971-0e45aaa1a9b5,Season 1 - How Do Cognitive Transitions Impact The Four Sides_enhanced.pdf,2025-10-25 02:33 PM
47648c03-c575-4856-8aa8-dd452255c3ca,Season 1 - What Are The Eight Cognitive Spectra_ _ Cognitive Functions_enhanced.pdf,2025-10-25 02:34 PM
698a295a-b8ea-45d9-9a47-1ee05383f3ca,Season 1 - What Is Functional Emulation For Cognitive Senses__enhanced.pdf,2025-10-25 02:34 PM
be4ab356-f3b8-49ac-b460-ddf4fb325e22,Season 1 - What Is Introverted Sensing (Si)_ _ Cognitive Functions_enhanced.pdf,2025-10-25 02:34 PM
a2297710-6f69-4fa6-8562-4199da8b506d,Season 1 - What Is Extraverted Sensing (Se)_ _ Cognitive Functions_enhanced.pdf,2025-10-25 02:34 PM
ef51f8b4-2a6c-49eb-bf63-e616da6db364,Season 1 - What Is Introverted Intuition_ (Ni) _ Cognitive Functions_enhanced.pdf,2025-10-25 02:34 PM
2776f175-6abe-48b9-81ba-0c046015394d,Season 1 - What Is Extraverted Thinking_ (Te) _ Cognitive Functions _enhanced.pdf,2025-10-25 02:34 PM
1d9018cd-aa2e-4b71-bf75-64282b852850,Season 1 - What Is Extraverted Intuition (Ne)_ _ Cognitive Functions_enhanced.pdf,2025-10-25 02:34 PM
f7fac420-1906-449c-a42b-96408c20a80f,Season 1 - What Is Introverted Feeling_ (Fi) _ Cognitive Functions_enhanced.pdf,2025-10-25 02:34 PM
84a8ebbb-e983-4dbd-924c-36e1764d790f,Season 1 - What Is Introverted Thinking_ (Ti) _ Cognitive Functions_enhanced.pdf,2025-10-25 02:34 PM
7da7b48b-e6ac-41b8-a420-1c9c76d73301,Season 2 - How Do Social Moratoriums Impact The Interaction Styles_enhanced.pdf,2025-10-25 02:37 PM
a33ab235-7052-48c0-bc76-1acf6ad4de28,Season 2 - How To Personality Type Anyone _ The Type Grid _enhanced (1).pdf,2025-10-25 02:37 PM
d29b2c61-b6a5-4ca2-9f31-324918833af5,"Season 2 - What Are The Four Communication Styles_ _ Finisher _ ISTJ, ISTP, INTJ, INFJ_enhanced.pdf",2025-10-25 02:37 PM
aed208e3-92e1-47ba-af60-31a82dd18011,"Season 2 - What Are The Four Temperaments_ Intellectuals _ ENTJ, ENTP, INTJ, INTP_enhanced.pdf",2025-10-25 02:37 PM
4ba045f0-c06f-4a33-aad6-53ceedb19414,"Season 2 - What Are The Four Interactions Styles_ _ Structure _ ESTJ, ESTP, ENTJ, ENFJ_enhanced.pdf",2025-10-25 02:37 PM
d119f2fb-d251-4e8e-8bde-e08bf55cff75,"Season 2 - What Are The Four Interaction Styles_ _ Starters _ ESFJ, ESFP, ENTP, ENFP_enhanced.pdf",2025-10-25 02:37 PM
ce29080b-408a-464e-b432-cf7d073080d1,"Season 2 - What Are The Four Temperaments_ _ Artisans _ ESTP, ESFP, ISTP, ISFP_enhanced.pdf",2025-10-25 02:37 PM
68ca3b89-d6ae-4dd2-bab2-7b3502da87e6,"Season 2 - What Are The Four Temperaments_ Idealists _ ENFJ, ENFP, INFJ, INFP_enhanced.pdf",2025-10-25 02:37 PM
598e58fe-b0bd-445c-bcec-73d9cbeb8ee2,"Season 2 - What are the Four Communication Styles_ Background Types _ ISFJ, ISFP, INTP, INFP_enhanced.pdf",2025-10-25 02:37 PM
d2c2cfbb-6464-41a4-aa6e-097566e757ce,"Season 2 - What Are The Four Temperaments_ _ Guardians _ ESTJ, ESFJ, ISTJ, ISFJ_enhanced.pdf",2025-10-25 02:37 PM
7d54b52e-2e2b-4f2b-8038-99594cb40f05,Season 2 - What's The Problem With MBTI Tests_ Is the MBTI Accurate__enhanced.pdf,2025-10-25 02:37 PM
19ca94ab-dfb0-4566-bea1-cfd784daf574,Season 3 - Who Are The ISFJs (The Knight)_ _ ISFJ Cognitive Functions_enhanced.pdf,2025-10-25 02:38 PM
6c0c5308-a413-447f-b5b7-fa4900a71bde,Season 3 - Who Are The ESFPs (The Duelist)_ _ ESFP Cognitive Functions_enhanced.pdf,2025-10-25 02:38 PM
5ca1c644-5a8b-4181-b9d2-5bdba777f4aa,Season 3 - Who Are The ESTPs (The Gladiator)_ _ ESTP Cognitive Functions_enhanced.pdf,2025-10-25 02:38 PM
1a84b26b-0a67-418d-a4c8-4be6a5bfb12e,Season 3 - Who Are The ISTJs (The Archivist)_ _ ISTJ Cognitive functions_enhanced.pdf,2025-10-25 02:38 PM
5fb21877-38c4-4bf1-82a1-8a10ebe25fa8,Season 3 - Who Are The ENFPs (The Bard)_ _ ENFP Cognitive Functions_enhanced.pdf,2025-10-25 02:38 PM
0cb38070-b6fd-49e5-8ce0-60922a79477f,Season 3 - Who Are The INTPs_ (The Ardent) _ INTP Cognitive Functions_enhanced.pdf,2025-10-25 02:38 PM
73f259f8-7e8e-4d80-830c-739ae9ec27f1,Season 3 - Who Are The INTJs (The Ranger)_ _ INTJ Cognitive Functions_enhanced.pdf,2025-10-25 02:39 PM
eea574af-f4d3-4788-8cdf-acbab1edb541,Season 3 - Who Are The INFPs_ (The Mystic) _ INFP Cognitive Functions_enhanced.pdf,2025-10-25 02:39 PM
b536aa37-bee7-45a5-9ce5-f68123751c27,Season 3 - Who Are The ESTJs (The Judicator)_ _ ESTJ Cognitive Functions _enhanced.pdf,2025-10-25 02:39 PM
71ad9301-338a-49c2-8580-b92a95b60fed,Season 3 - Who Are The ENFJs (The Cleric)_ _ ENFJ Cognitive Functions_enhanced.pdf,2025-10-25 02:39 PM
ccd084f4-9cb8-4a18-9315-280c65f701cf,Season 3 - Who Are The ISTPs (The Artificer)_ _ ISTP Cognitive Functions_enhanced.pdf,2025-10-25 02:39 PM
b8ec1dd2-7f5d-48b0-9855-0614c12a84c6,Season 3 - Who Are The ENTPs (The Rogue)_ _ ENTP Cognitive Functions_enhanced.pdf,2025-10-25 02:39 PM
b1b32abb-7b0c-4280-9aeb-cf739bd241dd,Season 3 - Who Are The ESFJs (The Cavalier)_ _ ESFJ Cognitive Functions_enhanced.pdf,2025-10-25 02:39 PM
b43156b7-65eb-4362-a413-01f901323423,Season 3 - Who Are The INFJs_ (The Paladin) _ INFJ Cognitive Functions_enhanced.pdf,2025-10-25 02:39 PM
fad8f4a1-b970-4c98-8404-5b31778ecd0b,Season 3 - Who Are the ENTJs (The Marshal)_ _ ENTJ Cognitive Functions_enhanced.pdf,2025-10-25 02:39 PM
66219981-a6aa-4575-9bcc-a7bd88349e07,Season 3 - Who Are The ISFPs (The Druid)_ _ ISFP Cognitive Functions_enhanced.pdf,2025-10-25 02:40 PM
9fc0f657-a487-4e52-b81f-633e1bb9594b,Season 5 - How Does The Golden Rule Apply To Cognitive Compatibility__enhanced.pdf,2025-10-25 02:40 PM
217f5148-42d5-4004-ab77-7d5655c7f610,Season 5 - What Is Cognitive Synchronicity Of Sensing Functions_ _ Si vs Se_enhanced.pdf,2025-10-25 02:40 PM
c425063e-50ce-465c-89b4-40f4bc1723bd,Season 5 - What Is Cognitive Synchronicity Of Intuition Functions_ _ Ni vs Ne_enhanced.pdf,2025-10-25 02:40 PM
3fdf2cbd-0aa8-4753-8062-689a5b4724a7,Season 5 - What Is Cognitive Synchronicity Of Thinking Functions_ _ Ti vs Te_enhanced.pdf,2025-10-25 02:40 PM
e4c0c91a-7519-4a8b-958b-799ebf00bcc9,Season 5 - What Is Cognitive Synchronicity Of Feeling Functions_ _ Fi vs Fe_enhanced.pdf,2025-10-25 02:40 PM
72cc0e61-2d5d-4dc1-8534-47227d489581,Season 7 - What Is The Virtue And Vice Of ENFJs_ _ Benevolence Vs. Cruelty_enhanced.pdf,2025-10-25 02:41 PM
862f4dc0-4776-4caa-9e08-34762dea4498,Season 7 - What Is The Virtue And Vice Of ESTJs_ _ Serenity Vs. Chaos_enhanced.pdf,2025-10-25 02:41 PM
3acc9b9e-bf17-4db5-a3d7-55b9faa8d2a2,Season 7 - What Is The Virtue And Vice Of ISTJs_ _ Objectivity Vs. The Trivial_enhanced.pdf,2025-10-25 02:41 PM
6378b206-b983-4d49-be8c-6d806788639a,Season 7 - What Is The Virtue And Vice Of INTJs (The Ranger)_ _ Trust Vs. Paranoia_enhanced.pdf,2025-10-25 02:41 PM
42fc3767-628b-46d2-a158-c66174d6fe9c,Season 7 - What Is The Virtue And Vice Of ESFJs_ Caregiving Vs. Caretaking_enhanced.pdf,2025-10-25 02:41 PM
2ca3878f-9a52-47d7-9521-a377ec0bcc40,Season 7 - What Is The Virtue And Vice Of ISTPs_ _ Joy Vs. Melancholy_enhanced (1).pdf,2025-10-25 02:41 PM
29bb87e4-1caa-4cbe-a937-7dcce0d8ed5c,Season 7 - What Is The Virtue And Vice Of ESTPs_ _ Chastity Vs. Nymphomania_enhanced.pdf,2025-10-25 02:41 PM
19ac055b-54bc-4fb2-b5c3-a271d1a5649d,Season 7 - What Is The Virtue And Vice Of INFPs (The Mystic)_ _ Loyalty Vs. Treachery_enhanced.pdf,2025-10-25 02:41 PM
2a3bc6cb-f24e-4750-a614-6b031fa6d824,Season 7 - What Is The Virtue And Vice Of ENTJs_ _ Altruism Vs. Avarice_enhanced.pdf,2025-10-25 02:41 PM
11dee702-7fbc-459a-a7cb-2a989b9c3906,Season 7 - What Is The Virtue And Vice Of ISFJs_ _ Faith Vs. Fear_enhanced.pdf,2025-10-25 02:41 PM
ef845fb6-d74f-415c-a8ad-2fdf82ed5e6e,Season 7 - What Is The Virtue And Vice Of INTPs (The Ardent)_ _ Attentiveness Vs. Apathy_enhanced.pdf,2025-10-25 02:41 PM
aeaf0027-8058-4b2a-9643-7a00b728f88f,Season 7 - What Is The Virtue And Vice Of ENTPs_ _ Sincerity Vs. Insincerity_enhanced.pdf,2025-10-25 02:42 PM
e56d70be-ac31-41db-b64a-669df4208d3e,Season 7- What Is The Virtue And Vice Of ISFPs_ _ Diligence Vs. Idleness _enhanced.pdf,2025-10-25 02:42 PM
1d9ae496-f145-4571-9716-1f81331f7562,Season 7 - What Is The Virtue And Vice Of INFJs (The Paladin)_ _ Integrity Vs. Corruption_enhanced.pdf,2025-10-25 02:42 PM
41b83644-261d-43c6-91cb-8054ac48ee93,Season 7 - What Is The Virtue And Vice Of ENFPs_ _ Charity Vs. Depravity_enhanced.pdf,2025-10-25 02:42 PM
7c3ac536-836f-4d2f-80ae-65c133a1d34f,Season 7 - What Is The Virtue And Vice Of ESFPs_ Delayed Gratification Vs. Instant Gratification_enhanced.pdf,2025-10-25 02:42 PM
1eac9eae-261b-48e8-ad4b-c5cfdfc1a50e,Season 7 - What Is The Virtue And Vice Of ISTPs_ _ Joy Vs. Melancholy_enhanced.pdf,2025-10-25 02:42 PM
6e61bed9-03c8-4203-a166-c441093549fd,Season 7_2 - The Deadly Sin of Gluttony INTP & ESFJ_enhanced.pdf,2025-10-25 02:44 PM
5201e48b-3be8-4767-a06c-fc318dbf6635,"Season 7.2 - Balancing Wrath and Absolution for Soul Temple! ENFP, INFJ, ESTP, ISTJ_enhanced.pdf",2025-10-25 02:44 PM
d1d6b2ee-fb30-4b4f-b858-81bcf37f432a,Season 7_2 - The Secret Power Obsession of ESTJs & INFPs_enhanced.pdf,2025-10-25 02:44 PM
2d86cdf1-45e4-4833-bf4c-e694ffc80f50,Season 7_2 - The Deadly Sin of Pride And How It Can Be Your Downfall ENFJ & ISTP_enhanced.pdf,2025-10-25 02:44 PM
0da499f2-0380-4169-a454-cc10bdff6809,Season 7.2 - The 8 Deadly Sins (and how to avoid them) _ CS Jos_enhanced.pdf,2025-10-25 02:44 PM
